Timestamp,Username,VideoID,Comment,Date
2025-04-22T08:07:29Z,@less_y2891,SzXMacu80o8,"Mata yg lelah, baca teks di monitor.",2025-04-22T08:07:29Z
2025-04-22T08:07:23Z,@westapik4721,SzXMacu80o8,Bonus kegelapan nih gara gara fufu fafa,2025-04-22T08:07:23Z
2025-04-22T08:07:23Z,@caritaurang,SzXMacu80o8,"pada ngehujat, lucu deh,,,hheeeyyyy kalian pas pilpres kmrin napa milih diaaa?? telat loe padaaaaa,,,kesel aing!!!",2025-04-22T08:07:23Z
2025-04-22T08:07:19Z,@AdjiCaroko,SzXMacu80o8,Hadeh bang banggg,2025-04-22T08:07:19Z
2025-04-22T08:07:16Z,@Rizkisaputra777,SzXMacu80o8,Nga ngo nga ngo ekonomi nih hancur bos bisa gak lobi mamarika,2025-04-22T08:07:16Z
2025-04-22T08:07:05Z,@AdeWahyuningsih-yo2wm,SzXMacu80o8,Generasi muda Indonesia mendukung penuh Pak Gibran! Teruslah maju dan jangan pernah menyerah dalam mewujudkan visi dan misi yang baik bagi bangsa.,2025-04-22T08:07:05Z
2025-04-22T08:06:52Z,@BellaRahmah,SzXMacu80o8,Besst bg gibran ❤❤,2025-04-22T08:06:52Z
2025-04-22T08:06:33Z,@BRS68,SzXMacu80o8,"Muka tegang, gak nyambung dengan apa ya diomongin !",2025-04-22T08:06:33Z
2025-04-22T08:06:26Z,@encoretnh,SzXMacu80o8,LAWAK,2025-04-22T08:06:26Z
2025-04-22T08:06:23Z,@FebrianSasaput,SzXMacu80o8,Semua program - program nya bgus loh. Jgn pedulikan mas tetap maju trus,2025-04-22T08:06:23Z
2025-04-22T08:06:21Z,@Romp491,SzXMacu80o8,Dari sekian juta orang cerdas di konoha dapet'a wapres model begini🤦‍♂️💩💩🐭,2025-04-22T08:06:21Z
2025-04-22T08:06:19Z,@adinurwansyah4445,SzXMacu80o8,""" manusia yg tidak menggunakan AI akan dikalahkan oleh manusia yg menggunakan AI ""
Pernyataan ini seolah olah ahli AI yg sudah melakukan penelitian..
Tolong lah bung jangan asal bunyi kalau sesuatu yg tidak anda kuasai !",2025-04-22T08:06:19Z
2025-04-22T08:06:19Z,@Adelia-xt8dd,SzXMacu80o8,Males liatnya,2025-04-22T08:06:19Z
2025-04-22T08:06:15Z,@Wili-l7i,SzXMacu80o8,Semangat Pak Gibran! Anda telah membuktikan bahwa anak muda bisa menjadi pemimpin yang hebat dan membawa perubahan positif bagi Indonesia.,2025-04-22T08:06:15Z
2025-04-22T08:06:03Z,@TingWe-pu1fi,SzXMacu80o8,"Mundur Aja dri Singgasana Mas,kalau masih berjiwa Ksatria,Biar di Ganti Yg Punya Kapasitas Aja.Anak Muda blm Waktunya Mimpin Negara.",2025-04-22T08:06:03Z
2025-04-22T08:05:56Z,@GhostBump-v9y,SzXMacu80o8,bisa lebih serius gak sih ?,2025-04-22T08:05:56Z
2025-04-22T08:05:54Z,@wahyupurwanto8010,SzXMacu80o8,Tanpa bapaknya dia bukan siapa-siapa,2025-04-22T08:05:54Z
2025-04-22T08:05:30Z,@yogirayapangestu9346,SzXMacu80o8,"after bandingin videonya mas mas ini sm punya bang ferry semakin keliatan kalo terjadi ketimpangan kapasitas, wapres < sipil biasa, duhhh",2025-04-22T08:05:30Z
2025-04-22T08:05:26Z,@rafsancholik3408,SzXMacu80o8,"dihina tidak tumbang, dipuji tidak pernah.",2025-04-22T08:05:26Z
2025-04-22T08:05:25Z,@hairiladzkia7744,SzXMacu80o8,KOSONG,2025-04-22T08:05:25Z
2025-04-22T08:05:09Z,@favianaqmar4437,SzXMacu80o8,92% dislike membuktikan mayoritas masih waras!! masa depan indonesia masih cerah 😊,2025-04-22T08:05:09Z
2025-04-22T08:05:03Z,@superdeddy123,SzXMacu80o8,"Cobalah buat konten yang riil sebagai wapres, konten dengan pola kinerja yang nyata demi pembangunan... Jangan berusaha buat konten pencitraan Layaknya sudah menjadi bapak pembangunan Indonesia atau layaknya sebagai bapak proklamator........... berkaryalah dulu, berbuat unk bangsa.. jangan melulu terfokus unk pilihan pemilu berikutnya.. nggak laku ! yuk buat terobosan2 kinerja unk rakyat dan pembangunan",2025-04-22T08:05:03Z
2025-04-22T08:05:00Z,@noerlaelachoi355,SzXMacu80o8,Kita??????? Lo aja kali 😂😂😂😂😂😂,2025-04-22T08:05:00Z
2025-04-22T08:04:59Z,@samtiyokchannel7075,SzXMacu80o8,pretttttttt,2025-04-22T08:04:59Z
2025-04-22T08:04:58Z,@MahfudM-t1n,SzXMacu80o8,FU FU FA FA,2025-04-22T08:04:58Z
2025-04-22T08:04:56Z,@Koetoe27,SzXMacu80o8,"98% negatif, mas mbok ya tau diri gitu lho",2025-04-22T08:04:56Z
2025-04-22T08:04:49Z,@baktiaprilia6991,SzXMacu80o8,Kesini cuma pengen dislike doang,2025-04-22T08:04:49Z
2025-04-22T08:04:39Z,@eustaskidz1234,SzXMacu80o8,seru ama ngeri ginih baca komenan...pada aman kah...?😅,2025-04-22T08:04:39Z
2025-04-22T08:04:28Z,@Kamid-j5e,SzXMacu80o8,"Pak Gibran, Anda adalah contoh pemimpin yang peduli pada anak muda! Teruslah berjuang dan memberikan kontribusi positif bagi bangsa.",2025-04-22T08:04:28Z
2025-04-22T08:04:25Z,@RaishaAnanda22,SzXMacu80o8,"Pak wapres kasih yg terbaik pak, ttap semangat walaupun bnyak yg hate❤",2025-04-22T08:04:25Z
2025-04-22T08:04:20Z,@zeinoir,SzXMacu80o8,"Tau kenapa masyarakat nggak ada yang suka & bangga sama lhu? YA KARENA NGGAK ADA YANG BISA DIBANGGAIN DARI LHU, SEBUTKAN 1 SAJA YANG BISA KAMI BANGGAKAN DARI LHU YANG MENGGAMBARKAN LHU PANTES BUAT JABAT SEBAGAI PEMIMPIN? KALAU NGGAK BISA JAWAB & PERLU BANTUAN BUZZER, DIPERSILAHKAN 🥂",2025-04-22T08:04:20Z
2025-04-22T08:04:19Z,@Juan-hv9by,SzXMacu80o8,kyk ngerti aja yg diomongin dongdong…,2025-04-22T08:04:19Z
2025-04-22T08:04:19Z,@djaja1273,SzXMacu80o8,"Oh begini rasanya punya wapres kosong😂😂😂malu sebenernya cuman gimana,bapaknya raja jawa😂😂😂",2025-04-22T08:04:19Z
2025-04-22T08:04:15Z,@IwanKurniawan-xj4jc,SzXMacu80o8,Suka banget liatnya ... Alami banget tololnya 😂,2025-04-22T08:04:15Z
2025-04-22T08:04:14Z,@agussabarudin1305,SzXMacu80o8,Dajjal nya indonesia,2025-04-22T08:04:14Z
2025-04-22T08:04:09Z,@owengdisporaaku845,SzXMacu80o8,Omon2,2025-04-22T08:04:09Z
2025-04-22T08:04:09Z,@zainurrisa,SzXMacu80o8,Ninggalin jejak dislike 😂😂😂,2025-04-22T08:04:09Z
2025-04-22T08:03:59Z,@alyalyituakutau,SzXMacu80o8,Malu saya punya Wapres begini!!,2025-04-22T08:03:59Z
2025-04-22T08:03:46Z,@yogiromansyah9213,SzXMacu80o8,Hayang modol,2025-04-22T08:03:46Z
2025-04-22T08:03:42Z,@DewiPutri-p7t,SzXMacu80o8,Semangat terus Pak Gibran! Anda telah membuktikan bahwa kepemimpinan yang baik dapat membawa perubahan positif bagi bangsa.,2025-04-22T08:03:42Z
2025-04-22T08:03:38Z,@killua6091,SzXMacu80o8,Apa gunanya ledakan usia produktif jika mereka hanya berdiri dalam antrean panjang pengangguran. Bukti kegagalan pemerintah pekerjaan informal lebih banyak dari formal,2025-04-22T08:03:38Z
2025-04-22T08:03:34Z,@hambaallah-cr2of,SzXMacu80o8,Kurang close the doornya nih😅,2025-04-22T08:03:34Z
2025-04-22T08:03:32Z,@Zissavaham,SzXMacu80o8,Orang ini dan Bapaknya ga pernah gw anggep jadi Pemimpin 😅,2025-04-22T08:03:32Z
2025-04-22T08:03:28Z,@Dzedt30,SzXMacu80o8,ANIES 2029 UNTUK INDONESIA LEBIH SEHAT,2025-04-22T08:03:28Z
2025-04-22T08:03:23Z,@RC-yc8rt,SzXMacu80o8,Apakah semua yang komen ini buzzer bayaran? I doubt that,2025-04-22T08:03:23Z
2025-04-22T08:02:58Z,@ciderankle,SzXMacu80o8,dislike nya brp banyak ga keliatan yaa,2025-04-22T08:02:58Z
2025-04-22T08:02:53Z,@Edesebki,SzXMacu80o8,WKWKWK. GAPUNYA MALU BANGET ANJIR,2025-04-22T08:02:53Z
2025-04-22T08:02:51Z,@RafasyaMalik_1,SzXMacu80o8,Pak gibran yg terbaik dari yg lainnya,2025-04-22T08:02:51Z
2025-04-22T08:02:51Z,@petanimuda3365,SzXMacu80o8,Pretttttttttttt,2025-04-22T08:02:51Z
2025-04-22T08:02:50Z,@kusnadikusnadi3271,SzXMacu80o8,Wapres give away,2025-04-22T08:02:50Z
2025-04-22T08:02:48Z,@sumirahayu6648,SzXMacu80o8,Menangnya jg gk afdol jd wapres bantuan bapaknya dn pamannya,2025-04-22T08:02:48Z
2025-04-22T08:02:48Z,@KAILAAZZAHRAMAHARANI-l2i,SzXMacu80o8,"Pak Gibran, Anda adalah contoh pemimpin yang visioner dan peduli pada masa depan generasi muda! Teruslah berjuang.",2025-04-22T08:02:48Z
